id , name,type,ordering_attribute,ordering_type
2367,Intsikurmu Music Festival,8,788,1
2701,Sweden Rock Magazine,1,788,1
2601,TKKG,1,788,1
2702,Nine Lives Tour,7,788,1
1496,Génération française,1,788,1
1523,Dark Alliance,1,788,1
1497,Allnighter,1,788,1
1498,Synthphony REMIXed!,1,788,1
1499,Punk Chartbusters,1,788,1
1524,Austrian Metal Alliance,1,788,1
1500,Schattenreich,1,788,1
1501,Time X,1,788,1
1550,Sound-Line,1,788,1
1502,Listening Pearls,1,788,2
1525,Hardcore Heaven,1,788,1
1503,Teen Beat,1,788,1
1504,Microdisco,1,788,1
1540,Lounge Tribute,1,788,1
1505,Hardware Chronicles,1,788,1
1526,L'Album Rock,1,788,1
1506,Kanzleramt,1,788,1
1507,Eternal Traxx,1,788,1
1508,Holland Party,1,788,1
1527,Absolute Funk,1,788,1
1509,Cookin' EP,1,788,1
1510,Popcorn Hits,1,788,1
1511,Popcorn: Golden Hits,1,788,1
1528,Happy Christmas,1,788,1
1512,La Suite,1,788,1
1513,Brazil 5000,1,788,1
1541,Whateverturnsuon,1,788,1
1514,Futronik Structures,1,788,1
1529,Flaix History,1,788,1
1515,Action,1,788,1
1516,Partytown,1,788,1
1517,SoulShaker,1,788,1
1530,Classic Jazz Archive,2,788,1
1518,Mystic Art,1,788,1
1519,Napalm Rave,1,788,1
1249,Defected Accapellas,1,788,2
1520,Ladies' Jazz,1,788,1
1531,Tecktonik,1,788,1
1521,Vintage Collectibles,1,788,1
1522,Chicago Lounge,1,788,1
1542,Teenage Kicks,1,788,1
1532,Jazz manouche,1,788,1
1551,Test Tones,1,788,1
1533,Oi! Chartbusters,1,788,1
1543,bluesnews Collection,1,788,1
1534,Tempa Allstars,1,788,1
1535,Kaffeehaus Lounge,1,788,1
1536,Relax Mania,1,788,1
1544,1970's Rock,1,788,1
1537,Spytbakken Mixtape,1,788,1
1538,Goa Constrictor,1,788,1
1539,This Is Bad Taste,1,788,1
1552,Angry Scenes,1,788,1
1545,Combat nasal,1,788,1
1546,Armada Lounge,1,788,1
1547,Hibernate Sampler,1,788,1
1553,Classic Jazz,1,788,1
1548,Lounge Time,1,788,1
1556,Bored Teenagers,1,788,1
1549,AUDIOphile Pearls,1,788,1
1565,Beloved Music Box,1,788,1
1554,World Mix,1,788,1
1557,Quadromania,2,788,1
1555,Vergeten Pareltjes,1,788,1
1560,Tantra Lounge,1,788,1
1563,Y-100: Sonic Sessions,1,788,1
1558,Club Epic: A Collection of Classic Dance Mixes,1,788,1
1559,Voll Bingo!,1,788,1
1561,Kumharas,1,788,1
1562,Pure Energy,1,788,1
1564,Gold & Platinum,1,788,1
1567,Record Chill Out,1,788,1
1566,Essential Sun Rockabillies,1,788,1
1568,Musiques de nuit,1,788,1
1569,Club Gorgeous.dk,1,788,1
1570,Give. Listen. Help.,1,788,1
1571,DJ Club Mix,1,788,1
1572,Hit-Diary,1,788,1
1573,G Lounge Milano,1,788,1
1574,Motown Chart Hits,1,788,1
2350,Mornacore,6,788,1
3264,Future Disco,1,788,1
2602,Dance 4 Syria,1,788,1
3299,Face the Beat,1,788,1
1575,German Rock Scene,1,788,1
1597,Ritmo de Bacardi,1,788,1
1576,Mastermix Professional Engineered for DJs,1,788,1
1577,Mastermix Professional Engineered for DJs,1,788,1
1622,Posthaste Music Library,1,788,1
1578,Die lasterhaften Balladen und Lieder des François Villon,4,788,1
1598,Soma Quality Recordings,1,788,1
1612,Ska... Ska... Skandal,1,788,1
1580,Scarlatti: Complete Sonatas,1,788,1
1599,Sounds & Pressure,1,788,1
1581,WSIC: CDs,1,788,1
872,Hardbass,1,788,1
2351,Yo!Hoov,6,788,1
1583,Cafe de Soul,1,788,1
1600,Breaking Barriers,1,788,1
1584,Louisiana Swamp Blues,1,788,1
1585,Signature Sounds Collection,1,788,1
1633,Rediscovered,1,788,1
1623,Classics for Pleasure,1,788,1
1586,N°1 Techno,1,788,1
1601,Los Bravos de la Fania,1,788,1
1587,De komplete kleinkunstkollektie,1,788,1
1588,Dance Mix USA,1,788,1
1613,Raum...musik praesentiert,1,788,1
1589,Pepsi: More Music,1,788,1
1602,Brandenburgische Konzerte,1,788,1
1590,Rue des chansons,1,788,1
1591,Maxima FM Compilation,1,788,1
1592,Reggae's Greatest Hits,1,788,1
1593,Twist 'n' Shout,1,788,1
1594,Awake the Machines,1,788,1
1595,On the Line,1,788,1
1614,Pax Musik Edition,1,788,1
1596,Eis am Stiel,1,788,1
1604,Artificial Intelligence (Various),1,788,1
1605,Omni,1,788,1
1606,Poker Flat,1,788,1
1615,16 Golden Hits,1,788,1
1607,Back to Front,1,788,1
1608,Wellenreiter in Schwarz,1,788,1
1624,Fat Jazzy Grooves,1,788,1
1609,Grand 12-Inches,1,788,1
1616,Goa Sound System,1,788,1
1610,Verve Today,1,788,1
1611,Sounds of OM,1,788,1
1617,RTL Radio-Oldieparty,1,788,1
1625,Boulevard des slows,1,788,1
1618,We Can Fly,1,788,1
1619,Ripples,1,788,1
1620,Miedzy Nami Café,1,788,1
1626,Geek Remixed,1,788,1
1621,Punk Rawk Explosion,1,788,1
1634,Seasons Greetings,1,788,1
1627,Child Ballads,4,788,1
2704,Vampire Variations,1,788,1
1630,Breathe (In Seven Sections),3,788,1
2705,Magnum Opus - VIP Edition,1,788,1
1629,Nassau Beach Club Ibiza,1,788,1
2368,Laulupidu,8,788,1
1637,Namlook titled series,1,788,1
1631,Live on Earth,1,788,1
1635,The Dark Side of the Moog,1,788,1
1632,Scitron 2000,1,788,1
1636,À collectionner : Les 6 CD McDonald’s®,2,788,2
2706,The Classic Composers,1,788,1
1638,Twin Cities Electropunk,1,788,1
1639,Dynamite Group Sounds,1,788,1
1640,Obscure Independent Classics,1,788,1
1641,The Stateside Story,1,788,1
1642,Roem van Toen,1,788,1
1643,The What CD,1,788,1
1644,Oi! The Rarities,1,788,1
1645,Sygnowano Fabryka Trzciny,1,788,1
1603,Artificial Intelligence,1,788,1
1579,Original Album Series,1,788,1
1647,Echte Übersee Records,1,788,1
1683,Emozioni: Die schönsten Italo-Kuschelsongs,1,788,1
1648,Jazz 'Round Midnight,1,788,1
1669,Southern Journey,1,788,1
1670,Beneath the Icy Floe,1,788,1
1650,Cinéma pour l'oreille,1,788,1
1692,The Tyranny Off the Beat,1,788,1
1651,Balaena Chamber Series,1,788,1
1671,Delicatessen: Cooking Vinyl Sampler,1,788,1
1652,The House Collection,1,788,1
1653,Doo-Bop-Jivers,1,788,1
1684,Great Jazz Giants: Smooth Jazz,1,788,1
1654,Hot Guitar Rock,1,788,1
1672,Black Top Blues-A-Rama,1,788,1
1655,Afrikaans Is Groot,1,788,1
1673,Rock of the 80's,1,788,1
1656,Gold Instrumental Collection,1,788,1
1657,One Shot Disco,1,788,1
1658,N.Y.C. Underground Party,1,788,1
1674,Songs From the Penalty Box,1,788,1
1659,Fresh,1,788,1
1660,We are Back!,1,788,1
1700,The Way Things Change,1,788,1
1661,Dream Melodies,1,788,1
3265,Festival international de musique de Colmar,8,788,1
1675,Rare Surf,1,788,1
3267,Chandos American Series,1,788,1
1663,Pay It All Back,1,788,1
1693,ESPN Presents: Jock Jams,1,788,1
1664,Gustav Holst's Opus,5,788,1
1676,Blackend: The Black Metal Compilation,1,788,1
1665,Mashup the Hedgehog,3,788,2
1666,Felix Mendelssohn Bartholdy: Thematisch-systematisches Verzeichnis der musikalischen Werke (MWV),5,788,1
1685,Mr. Music Hits,1,788,1
1680,Music From SEAMUS,1,788,1
1681,Pure Swamp Pop Gold,1,788,1
1708,This Is Solid State,1,788,1
1679,La Cascada del Chillout,1,788,1
1687,Spotlite on,1,788,1
1682,30 Anos de Jovem Guarda,1,788,1
1695,Ultra Chicks,1,788,1
1688,Every One a Classic,1,788,1
1701,The Chillout Album: Soft Mixed,1,788,1
1696,X-Static,1,788,1
1690,Merci pour la chanson,1,788,1
1691,Hopelessly Devoted to You,1,788,1
1705,Playground,1,788,1
1697,A Voyage Into Trance,1,788,1
1702,Electric Psychedelic Sitar Headswirlers,1,788,1
1698,Future Sound of Zurich,1,788,1
1699,Sixeleven DJ Mixseries,1,788,1
1703,Slow Jams: The Timeless Collection,1,788,1
1706,10 Days Off: The Soundtrack,1,788,1
1704,Hi-Fidelity Dub Sessions,1,788,1
1710,The Story of Tango,1,788,1
1707,100 Chansons françaises de légende,1,788,1
